object_type,track_id,frame_num,speed_kmh,total_distance_m
players,1,0,10.157955088808375,0.5878446231949291
players,1,1,10.157955088808375,0.5878446231949291
players,1,2,10.157955088808375,0.5878446231949291
players,1,3,10.157955088808375,0.5878446231949291
players,1,4,10.157955088808375,0.5878446231949291
players,1,5,16.890204337286885,1.5652870038249573
players,1,6,16.890204337286885,1.5652870038249573
players,1,7,16.890204337286885,1.5652870038249573
players,1,8,16.890204337286885,1.5652870038249573
players,1,9,16.890204337286885,1.5652870038249573
players,1,10,14.937699432280818,2.429737202452319
players,1,11,14.937699432280818,2.429737202452319
players,1,12,14.937699432280818,2.429737202452319
players,1,13,14.937699432280818,2.429737202452319
players,1,14,14.937699432280818,2.429737202452319
players,1,15,20.57055560210114,3.6201628738702096
players,1,16,20.57055560210114,3.6201628738702096
players,1,17,20.57055560210114,3.6201628738702096
players,1,18,20.57055560210114,3.6201628738702096
players,1,19,20.57055560210114,3.6201628738702096
players,1,20,11.637460536596974,4.293627025293645
players,1,21,11.637460536596974,4.293627025293645
players,1,22,11.637460536596974,4.293627025293645
players,1,23,11.637460536596974,4.293627025293645
players,1,24,11.637460536596974,4.293627025293645
players,1,25,5.919381940042827,4.636183850527605
players,1,26,5.919381940042827,4.636183850527605
players,1,27,5.919381940042827,4.636183850527605
players,1,28,5.919381940042827,4.636183850527605
players,1,29,5.919381940042827,4.636183850527605
players,1,30,3.694414314000699,4.849980975180423
players,1,31,3.694414314000699,4.849980975180423
players,1,32,3.694414314000699,4.849980975180423
players,1,33,3.694414314000699,4.849980975180423
players,1,34,3.694414314000699,4.849980975180423
players,1,35,4.003245482938795,5.081650273961603
players,1,36,4.003245482938795,5.081650273961603
players,1,37,4.003245482938795,5.081650273961603
players,1,38,4.003245482938795,5.081650273961603
players,1,39,4.003245482938795,5.081650273961603
players,1,40,4.386246132355025,5.3354839621765935
players,1,41,4.386246132355025,5.3354839621765935
players,1,42,4.386246132355025,5.3354839621765935
players,1,43,4.386246132355025,5.3354839621765935
players,1,44,4.386246132355025,5.3354839621765935
players,1,45,4.920510328672644,5.6202357173081126
players,1,46,4.920510328672644,5.6202357173081126
players,1,47,4.920510328672644,5.6202357173081126
players,1,48,4.920510328672644,5.6202357173081126
players,1,49,4.920510328672644,5.6202357173081126
players,1,50,3.302375160286526,5.811345390935805
players,1,51,3.302375160286526,5.811345390935805
players,1,52,3.302375160286526,5.811345390935805
players,1,53,3.302375160286526,5.811345390935805
players,1,54,3.302375160286526,5.811345390935805
players,1,55,2.2021014782119828,5.938781819073072
players,1,56,2.2021014782119828,5.938781819073072
players,1,57,2.2021014782119828,5.938781819073072
players,1,58,2.2021014782119828,5.938781819073072
players,1,59,2.2021014782119828,5.938781819073072
players,1,60,0.4665078757226792,5.965778802621839
players,1,61,0.4665078757226792,5.965778802621839
players,1,62,0.4665078757226792,5.965778802621839
players,1,63,0.4665078757226792,5.965778802621839
players,1,64,0.4665078757226792,5.965778802621839
players,1,65,6.250505033329162,6.327497843902462
players,1,66,6.250505033329162,6.327497843902462
players,1,67,6.250505033329162,6.327497843902462
players,1,68,6.250505033329162,6.327497843902462
players,1,69,6.250505033329162,6.327497843902462
players,1,70,4.55394693893358,6.5910364399055625
players,1,71,4.55394693893358,6.5910364399055625
players,1,72,4.55394693893358,6.5910364399055625
players,1,73,4.55394693893358,6.5910364399055625
players,1,74,4.55394693893358,6.5910364399055625
players,1,75,1.2274125038111192,6.662067256098336
players,1,76,1.2274125038111192,6.662067256098336
players,1,77,1.2274125038111192,6.662067256098336
players,1,78,1.2274125038111192,6.662067256098336
players,1,79,1.2274125038111192,6.662067256098336
players,1,80,6.760794444388016,7.0533169345930125
players,1,81,6.760794444388016,7.0533169345930125
players,1,82,6.760794444388016,7.0533169345930125
players,1,83,6.760794444388016,7.0533169345930125
players,1,84,6.760794444388016,7.0533169345930125
players,1,85,8.368203248929138,7.537587955943078
players,1,86,8.368203248929138,7.537587955943078
players,1,87,8.368203248929138,7.537587955943078
players,1,88,8.368203248929138,7.537587955943078
players,1,89,8.368203248929138,7.537587955943078
players,1,90,13.95357753257253,8.345086655744728
players,1,91,13.95357753257253,8.345086655744728
players,1,92,13.95357753257253,8.345086655744728
players,1,93,13.95357753257253,8.345086655744728
players,1,94,13.95357753257253,8.345086655744728
players,1,95,5.775769896517389,8.679332598830225
players,1,96,5.775769896517389,8.679332598830225
players,1,97,5.775769896517389,8.679332598830225
players,1,98,5.775769896517389,8.679332598830225
players,1,99,5.775769896517389,8.679332598830225
players,1,100,15.992527089545913,9.604826064660429
players,1,101,15.992527089545913,9.604826064660429
players,1,102,15.992527089545913,9.604826064660429
players,1,103,15.992527089545913,9.604826064660429
players,1,104,15.992527089545913,9.604826064660429
players,1,105,11.327640619596695,10.260360822738942
players,1,106,11.327640619596695,10.260360822738942
players,1,107,11.327640619596695,10.260360822738942
players,1,108,11.327640619596695,10.260360822738942
players,1,109,11.327640619596695,10.260360822738942
players,1,110,16.112516650886196,11.192798128924487
players,1,111,16.112516650886196,11.192798128924487
players,1,112,16.112516650886196,11.192798128924487
players,1,113,16.112516650886196,11.192798128924487
players,1,114,16.112516650886196,11.192798128924487
players,1,115,11.967254555869587,11.885347582389162
players,1,116,11.967254555869587,11.885347582389162
players,1,117,11.967254555869587,11.885347582389162
players,1,118,11.967254555869587,11.885347582389162
players,1,119,11.967254555869587,11.885347582389162
players,1,120,20.80636069876886,13.089419382086435
players,1,121,20.80636069876886,13.089419382086435
players,1,122,20.80636069876886,13.089419382086435
