frame,status,tracked_id
398,tracked,1
399,tracked,1
400,tracked,1
401,tracked,1
402,tracked,1
403,tracked,1
404,tracked,1
405,tracked,1
406,tracked,1
407,tracked,1
408,tracked,1
409,tracked,1
410,tracked,1
411,tracked,1
412,tracked,1
413,tracked,1
414,tracked,1
415,tracked,1
416,tracked,1
417,tracked,1
418,tracked,1
419,tracked,1
420,tracked,1
421,tracked,1
422,tracked,1
423,tracked,1
424,tracked,1
425,tracked,1
426,tracked,1
427,tracked,1
428,tracked,1
429,tracked,1
430,tracked,1
431,tracked,1
432,tracked,1
433,tracked,1
434,tracked,1
435,tracked,1
436,tracked,1
437,tracked,1
438,tracked,1
439,tracked,1
440,tracked,1
441,tracked,1
442,tracked,1
443,tracked,1
444,tracked,1
445,tracked,1
446,tracked,1
447,tracked,1
448,tracked,1
449,tracked,1
450,tracked,1
451,tracked,1
452,tracked,1
453,tracked,1
454,tracked,1
455,tracked,1
456,tracked,1
457,tracked,1
458,tracked,1
459,tracked,1
460,tracked,1
461,tracked,1
462,tracked,1
463,tracked,1
464,tracked,1
465,tracked,1
466,tracked,1
467,tracked,1
468,tracked,1
469,tracked,1
470,tracked,1
471,tracked,1
472,tracked,1
473,tracked,1
474,tracked,1
475,tracked,1
476,tracked,1
477,tracked,1
478,tracked,1
479,tracked,1
480,tracked,1
481,tracked,1
482,tracked,1
483,tracked,1
484,tracked,1
485,tracked,1
486,tracked,1
487,tracked,1
488,tracked,1
489,tracked,1
490,tracked,1
491,tracked,1
492,tracked,1
493,tracked,1
494,tracked,1
495,tracked,1
496,tracked,1
497,tracked,1
498,tracked,1
499,tracked,1
500,tracked,1
501,tracked,1
502,tracked,1
503,tracked,1
504,tracked,1
505,tracked,1
506,tracked,1
507,tracked,1
508,tracked,1
509,tracked,1
510,tracked,1
511,tracked,1
512,tracked,1
513,tracked,1
514,tracked,1
515,tracked,1
516,tracked,1
517,tracked,1
518,tracked,1
519,tracked,1
520,tracked,1
521,tracked,1
522,tracked,1
523,tracked,1
524,tracked,1
525,tracked,1
526,tracked,1
527,tracked,1
528,tracked,1
529,tracked,1
530,tracked,1
531,tracked,1
532,tracked,1
533,tracked,1
534,tracked,1
535,tracked,1
536,tracked,1
537,tracked,1
538,tracked,1
539,tracked,1
540,tracked,1
541,tracked,1
542,tracked,1
543,tracked,1
544,tracked,1
545,tracked,1
546,tracked,1
547,tracked,1
548,tracked,1
549,tracked,1
550,tracked,1
551,tracked,1
552,tracked,1
553,tracked,1
554,tracked,1
555,tracked,1
556,tracked,1
557,tracked,1
558,tracked,1
559,tracked,1
560,tracked,1
561,tracked,1
562,tracked,1
563,tracked,1
564,tracked,1
565,tracked,1
566,tracked,1
567,tracked,1
568,tracked,1
569,tracked,1
570,tracked,1
571,tracked,1
572,tracked,1
573,tracked,1
574,tracked,1
575,tracked,1
576,tracked,1
577,tracked,1
578,tracked,1
579,tracked,1
580,tracked,1
581,tracked,1
582,tracked,1
583,tracked,1
584,tracked,1
585,tracked,1
586,tracked,1
587,tracked,1
588,tracked,1
589,tracked,1
590,tracked,1
591,tracked,1
592,tracked,1
593,tracked,1
594,tracked,1
595,tracked,1
596,tracked,1
597,tracked,1
598,tracked,1
599,tracked,1
600,tracked,1
601,tracked,1
602,tracked,1
603,tracked,1
604,tracked,1
605,tracked,1
606,tracked,1
607,tracked,1
608,tracked,1
609,tracked,1
610,tracked,1
611,tracked,1
612,tracked,1
613,tracked,1
614,tracked,1
615,tracked,1
616,tracked,1
617,tracked,1
618,tracked,1
619,tracked,1
620,tracked,1
621,tracked,1
622,tracked,1
623,tracked,1
624,tracked,1
625,tracked,1
626,tracked,1
627,tracked,1
628,tracked,1
629,tracked,1
630,tracked,1
631,tracked,1
632,tracked,1
633,tracked,1
634,tracked,1
635,tracked,1
636,tracked,1
637,tracked,1
638,tracked,1
639,tracked,1
640,tracked,1
641,tracked,1
642,tracked,1
643,tracked,1
644,tracked,1
645,tracked,1
646,tracked,1
647,tracked,1
648,tracked,1
649,tracked,1
650,tracked,1
651,tracked,1
652,tracked,1
653,tracked,1
654,tracked,1
655,tracked,1
656,tracked,1
657,tracked,1
658,tracked,1
659,tracked,1
660,tracked,1
661,tracked,1
662,tracked,1
663,tracked,1
664,tracked,1
665,tracked,1
666,tracked,1
667,tracked,1
668,tracked,1
669,tracked,1
670,tracked,1
671,tracked,1
672,tracked,1
673,tracked,1
674,tracked,1
675,tracked,1
676,tracked,1
677,tracked,1
678,tracked,1
679,tracked,1
680,tracked,1
681,tracked,1
682,tracked,1
683,tracked,1
684,tracked,1
685,tracked,1
686,tracked,1
687,tracked,1
688,tracked,1
689,tracked,1
690,tracked,1
691,tracked,1
692,tracked,1
693,tracked,1
694,tracked,1
695,tracked,1
696,tracked,1
697,tracked,1
698,tracked,1
699,tracked,1
700,tracked,1
701,tracked,1
702,tracked,1
703,tracked,1
704,tracked,1
705,tracked,1
706,tracked,1
707,tracked,1
708,tracked,1
709,tracked,1
710,tracked,1
711,tracked,1
712,tracked,1
713,tracked,1
714,tracked,1
715,tracked,1
716,tracked,1
717,tracked,1
718,tracked,1
719,tracked,1
720,tracked,1
721,tracked,1
722,tracked,1
723,tracked,1
724,tracked,1
725,tracked,1
726,tracked,1
727,tracked,1
728,tracked,1
729,tracked,1
730,tracked,1
731,tracked,1
732,tracked,1
733,tracked,1
734,tracked,1
735,tracked,1
736,tracked,1
737,tracked,1
738,tracked,1
739,tracked,1
740,tracked,1
741,tracked,1
742,tracked,1
743,tracked,1
744,tracked,1
745,tracked,1
746,tracked,1
747,tracked,1
748,tracked,1
749,tracked,1
