object_type,track_id,final_distance_m,avg_speed_kmh,max_speed_kmh
players,1,55.98844885280904,6.451850721559487,36.0531314585646
players,3,76.27122789515627,8.775653904999242,37.774442345852606
players,5,71.78910359348347,8.291743962252228,33.20445249984495
players,6,64.87531897476632,7.488672764849051,34.462513468968474
players,7,52.88009844808426,6.981502728126048,39.51686044215791
players,8,53.43983055262113,7.912319022597876,52.937195027249295
players,11,58.90932181247134,6.923883215066009,38.152769265942084
players,12,70.38510373586047,8.735130432596218,41.7293737891694
players,14,64.69653760336872,7.4490325614433495,32.23236695810987
players,15,64.65299718150727,7.885535156682839,45.9562327310474
players,16,35.099467633022805,12.363592278152664,31.579659436321922
players,18,2.252775962013864,13.022591576589122,21.03287106420159
players,22,17.99200317298307,10.08609551509052,21.77601535561931
players,34,58.94222104844657,7.866492868957372,26.315118904326795
players,91,9.835540834777687,6.601648276382511,17.96531505589142
players,132,46.65900531248612,10.854510903657134,60.91208537151624
players,19,31.817066049707336,6.845107471105622,27.429566717601446
players,142,36.17411138950733,9.29483318319216,40.855005949654014
players,120,23.317411604923734,7.4657675394503205,31.935467845730656
players,156,11.465740157237414,9.375794891635792,19.025441698603075
players,236,1.9415397071993665,3.7096299591859667,6.483593034948196
